place,movie_title,rating,year,star_cast
54,Memento,8.417721946050797,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django,8.410204689110177,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Poszukiwacze zaginionej Arki,8.40520636167611,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.395850589294973,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,Życie na podsłuchu,8.382823638642288,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Bulwar Zachodzącego Słońca,8.378173522823474,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Ścieżki chwały,8.371068957787266,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,Lśnienie,8.364352881449022,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,Dyktator,8.363256351994913,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Wojna bez granic,8.363068833053633,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Świadek oskarżenia,8.35932877986529,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Obcy 2 - decydujące starcie,8.342868201858389,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man Uniwersum,8.34157692430731,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.328049884603852,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,"Dr Strangelove, czyli jak przestałem się martwić i pokochałem bombę",8.325937947211788,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,Mroczny Rycerz powstaje,8.325568013680705,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Bękarty wojny,8.320287359886017,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
71,Oldboy,8.31958623933935,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
72,Amadeusz,8.316343048581565,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
73,Coco,8.315555686271141,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,Toy Story,8.314238787406111,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Braveheart - Waleczne Serce,8.312254283523428,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
76,Joker,8.311560446321765,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
77,Okręt,8.311488365587342,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Koniec gry,8.303745913613044,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Księżniczka Mononoke,8.302973779577316,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Buntownik z wyboru,8.294301484244693,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
81,Dawno temu w Ameryce,8.293790639910176,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Twoje imię,8.286374600887946,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
